"abbrev","category","term","p.value","adj.p.value","p.fdr"
"PO","TH","Cocaine1d",0.316764330608629,0.25794739442234,0.342138557879632
"POL","TH","Cocaine1d",0.387316092343495,0.30831990565884,0.387428302505516
"POR","P","Cocaine1d",0.105201160348951,0.093716898409092,0.186457579126423
"POST","HPF","Cocaine1d",0.0337363683691016,0.0313947237173834,0.123919013739161
"PP","TH","Cocaine1d",0.261755949463614,0.217239357120597,0.309647143358464
"PPN","MB","Cocaine1d",0.0834778317673931,0.0754560509169838,0.164944959847902
"PPT","MB","Cocaine1d",0.212401401544092,0.179551415493812,0.270034018577307
"PR","TH","Cocaine1d",0.34288065573902,0.270755708366741,0.356650622745156
"PRC","MB","Cocaine1d",0.662721327292344,0.481434397656594,0.542501297654333
"PRE","HPF","Cocaine1d",0.05748982917102,0.0524814608227054,0.143232029417788
"PRNr","P","Cocaine1d",0.337586660778843,0.273022430679961,0.35717317986214
"PS","HY","Cocaine1d",0.28473545756942,0.22717151859946,0.31328346608301
"PST","HY","Cocaine1d",0.0379160271698902,0.0351506036172643,0.123919013739161
"PSTN","HY","Cocaine1d",0.11281756373437,0.0996507256458594,0.195885823429776
"PSV","P","Cocaine1d",0.403928311879276,0.322434224679515,0.402515927541094
"PT","TH","Cocaine1d",0.735889323131316,0.520652827576482,0.573168242461718
"PVH","HY","Cocaine1d",0.623930248758532,0.454426845638474,0.522864623596076
"PVp","HY","Cocaine1d",0.000491082008340256,0.000481771790527885,0.0262909748545217
"PVT","TH","Cocaine1d",0.353283668060344,0.924772157534238,0.937037040260156
"RCH","HY","Cocaine1d",0.0288722396028205,0.0267183045549854,0.117865350578097
"RE","TH","Cocaine1d",0.638537145784323,0.824759759524429,0.856136489506337
"RN","MB","Cocaine1d",0.623963513200912,0.463903856738398,0.528988875444979
"RPO","P","Cocaine1d",0.492971074685429,0.380028391329323,0.455081020337936
"RSPagl1","CTXpl","Cocaine1d",0.0795524279651731,0.0715294194017072,0.164944959847902
"RSPagl2/3","CTXpl","Cocaine1d",0.00893038482100083,0.00857308993731842,0.0724576728620397
"RSPagl5","CTXpl","Cocaine1d",0.0487901838878623,0.0448282581971901,0.137036660886491
"RSPagl6a","CTXpl","Cocaine1d",0.0386287897539478,0.035788910537125,0.123919013739161
"RSPagl6b","CTXpl","Cocaine1d",0.0206524933646857,0.0192909132101371,0.105607456032914
"RSPd1","CTXpl","Cocaine1d",0.327080889898269,0.26170449757831,0.345920823788631
"RSPd2/3","CTXpl","Cocaine1d",0.0125986964353261,0.0120191074891234,0.0819608633424685
"RSPd5","CTXpl","Cocaine1d",0.043799903642495,0.0404037179034474,0.130798476602686
"RSPd6a","CTXpl","Cocaine1d",0.0351797539500633,0.0326947069599069,0.123919013739161
"RSPd6b","CTXpl","Cocaine1d",0.00833493007744005,0.008012017631566,0.0724576728620397
"RSPv1","CTXpl","Cocaine1d",0.0839461540863301,0.0753204040587191,0.164944959847902
"RSPv2/3","CTXpl","Cocaine1d",0.175056009633562,0.150235845083635,0.240125911388906
"RSPv5","CTXpl","Cocaine1d",0.273289893130157,0.225883265959299,0.31328346608301
"RSPv6a","CTXpl","Cocaine1d",0.0681202106045937,0.0617382986468322,0.15550333730719
"RSPv6b","CTXpl","Cocaine1d",0.0660779398342773,0.0599685886935835,0.154200981752645
"RT","TH","Cocaine1d",0.170933869504603,0.14695756553984,0.236868312389109
"SAG","MB","Cocaine1d",0.0777707939558739,0.070534547798359,0.164293885725446
"SBPV","HY","Cocaine1d",0.157377838202271,0.133190813751026,0.223153030056544
"SCdg","MB","Cocaine1d",0.0217061231230721,0.0204548654654436,0.107986185592235
"SCdw","MB","Cocaine1d",0.0514691793593754,0.047193316747864,0.137617152654077
"SCH","HY","Cocaine1d",0.314842945111216,0.250451565687937,0.334936007121896
"SCig","MB","Cocaine1d",0.0841135537532853,0.0754778369921369,0.164944959847902
"SCiw","MB","Cocaine1d",0.0489278739064932,0.0449498469375283,0.137036660886491
"SCop","MB","Cocaine1d",0.122336859481786,0.107540414222238,0.201510619583905
"SCsg","MB","Cocaine1d",0.0514504419835855,0.0471756120971539,0.137617152654077
