"abbrev","category","term","p.value","adj.p.value","p.fdr"
"LSv","STR","Sugar1d",0.00867365689326261,0.00838510774551227,0.0476053719797054
"LT","MB","Sugar1d",0.0578424750886111,0.0528685320001133,0.115786736496625
"MA","PAL","Sugar1d",0.0147158968610166,0.0140961831295623,0.0597750502767401
"MD","TH","Sugar1d",0.621753749837669,0.467812958371382,0.501979073308617
"MEA","STR","Sugar1d",0.05117735502413,0.047003978199169,0.109021502625893
"MEPO","HY","Sugar1d",0.0574058530257971,0.0534176007148842,0.115786736496625
"MEV","MB","Sugar1d",0.139480080963692,0.121811502455802,0.181058342171659
"MG","TH","Sugar1d",0.231364123952975,0.19451217290997,0.251876779835961
"MH","TH","Sugar1d",0.332028478763985,0.272270667139356,0.325023108897606
"MM","HY","Sugar1d",0.0845843214240036,0.0766735920108464,0.135992768006055
"MOB","OLF","Sugar1d",0.0355782199381405,0.0333392382125445,0.0936440367440587
"MOp1","CTXpl","Sugar1d",0.0830554181737227,0.0746944588790776,0.133333099494428
"MOp2/3","CTXpl","Sugar1d",0.0607764343188578,0.0554382607366322,0.115786736496625
"MOp5","CTXpl","Sugar1d",0.488875928887828,0.378165262389078,0.422395117639263
"MOp6a","CTXpl","Sugar1d",0.291467090285479,0.239816658588622,0.294565799295349
"MOp6b","CTXpl","Sugar1d",0.265158793880253,0.220189187044726,0.27668509687857
"MOs1","CTXpl","Sugar1d",0.101640102101323,0.0912850776001343,0.149020938646373
"MOs2/3","CTXpl","Sugar1d",0.00876719690134669,0.00847425469795804,0.0476053719797054
"MOs5","CTXpl","Sugar1d",0.0378854212225563,0.0354391944535178,0.0966222827629518
"MOs6a","CTXpl","Sugar1d",0.0227319061487471,0.0215673843444375,0.0762608087887659
"MOs6b","CTXpl","Sugar1d",0.0373257425445843,0.0349323093452204,0.0966222827629518
"MPN","HY","Sugar1d",0.0149874473931724,0.0143960854069636,0.0597750502767401
"MPO","HY","Sugar1d",0.000548037203744617,0.000542589559994311,0.011514956217657
"MPT","MB","Sugar1d",0.05755886420154,0.0530567681363178,0.115786736496625
"MRN","MB","Sugar1d",0.162787317982936,0.140683977947909,0.199041776207782
"MS","PAL","Sugar1d",0.237334008063776,0.201287503600225,0.258895038300626
"NB","MB","Sugar1d",0.0283296617392103,0.0265374447917424,0.0830926550036523
"ND","MB","Sugar1d",0.931844629943561,0.719671474376491,0.74100944261946
"NDB","PAL","Sugar1d",0.0025617455547131,0.00251194902166896,0.0274161293222155
"NI","P","Sugar1d",0.449026758395596,0.353647976239326,0.402064068224472
"NLL","P","Sugar1d",0.218202002950744,0.184366335868869,0.243695295162311
"NLOT1","OLF","Sugar1d",0.00452158709123203,0.00440884745949222,0.0350870776984589
"NLOT3","OLF","Sugar1d",6.5954689279418e-05,6.56902571020135e-05,0.00250936782129692
"NOT","MB","Sugar1d",0.133543062346352,0.116952885429985,0.176584989068199
"NPC","MB","Sugar1d",0.255191004434849,0.212667754061003,0.271702615556198
"NTB","MY","Sugar1d",0.142773713766989,0.125700338694101,0.183719769546854
"OP","MB","Sugar1d",0.217070290705033,0.183489046725462,0.243377832809467
"ORBl1","CTXpl","Sugar1d",0.0498607990996223,0.0462091538752789,0.109021502625893
"ORBl2/3","CTXpl","Sugar1d",0.175933132519612,0.152690258041425,0.212874739313228
"ORBl5","CTXpl","Sugar1d",0.145636126360305,0.128046369700044,0.184580049907234
"ORBl6a","CTXpl","Sugar1d",0.0446355514003434,0.0415246290288876,0.103172420029089
"ORBm1","CTXpl","Sugar1d",0.209501658430397,0.966289380161854,0.966289380161854
"ORBm2/3","CTXpl","Sugar1d",1.39094289588649e-112,0,0
"ORBm5","CTXpl","Sugar1d",0.566927032666678,0.433144770579063,0.474101152897427
"ORBm6a","CTXpl","Sugar1d",0.076728149228974,0.0698692022962787,0.12903530051446
"ORBvl1","CTXpl","Sugar1d",0.392593452072871,0.315766676651075,0.365523849941548
"ORBvl2/3","CTXpl","Sugar1d",0.193049916499801,0.166380074565337,0.225337392914299
"ORBvl5","CTXpl","Sugar1d",0.136361944368627,0.12039636572077,0.180358477275821
"ORBvl6a","CTXpl","Sugar1d",0.012845894322746,0.0123362167445279,0.0573607808921257
"ORBvl6b","CTXpl","Sugar1d",0.123828557009191,0.106984603069113,0.166808646417964
"OT","STR","Sugar1d",0.00940324836090002,0.00907901843456216,0.0488636808061264
"PA","CTXsp","Sugar1d",0.0098327827320963,0.00943457210410314,0.049369952654348
"PAA","OLF","Sugar1d",0.0440325586660143,0.0406675543741607,0.102203985335062
"PAG","MB","Sugar1d",0.0116465248877619,0.0111400554733254,0.0545577075744911
"PAR","HPF","Sugar1d",0.0149974658621957,0.0142726252418269,0.0597750502767401
"PB","P","Sugar1d",0.0200391643254558,0.0189445752271746,0.0709492915370658
